distribution,num_nodes,seed,run,hv
RC,100,44,5,0.5315225063168543
RC,100,45,1,0.4794369130720401
RC,100,45,2,0.5088216649903081
RC,100,45,3,0.5011237579530738
RC,100,45,4,0.5034980003998488
RC,100,45,5,0.5116092185005541
RC,100,46,1,0.5865489635191053
RC,100,46,2,0.5515011668376486
RC,100,46,3,0.5591707663039239
RC,100,46,4,0.5139759987547556
RC,100,46,5,0.5211463022268568
RC,200,42,1,0.40940458487709996
RC,200,42,2,0.4779922215462511
RC,200,42,3,0.41412812487302025
RC,200,42,4,0.4086378096204301
RC,200,42,5,0.42558145760541716
RC,200,43,1,0.38860105918112975
RC,200,43,2,0.42725553005297284
RC,200,43,3,0.4155867638142926
RC,200,43,4,0.3966226797640913
RC,200,43,5,0.4361975130737656
RC,200,44,1,0.42904654790358215
RC,200,44,2,0.42583047542680447
RC,200,44,3,0.4016612175429578
RC,200,44,4,0.3726057668593017
RC,200,44,5,0.39652769130852206
RC,200,45,1,0.38962550024150655
RC,200,45,2,0.4183902486866302
RC,200,45,3,0.41485765603284297
RC,200,45,4,0.38195773043137954
RC,200,45,5,0.3963525406398664
RC,200,46,1,0.4189039530316975
RC,200,46,2,0.41919595678441474
RC,200,46,3,0.43399322695520826
RC,200,46,4,0.43424743953764744
RC,200,46,5,0.3844518103247517
RC,400,42,1,0.33406754360035024
RC,400,42,2,0.3408129860829457
RC,400,42,3,0.3385060286823482
RC,400,42,4,0.3328590552981004
RC,400,42,5,0.3130625466945858
RC,400,43,1,0.32856060281364163
RC,400,43,2,0.2960598827470362
RC,400,43,3,0.26384982909895716
RC,400,43,4,0.3345154412831822
RC,400,43,5,0.33146692665537336
RC,400,44,1,0.31370055633020155
RC,400,44,2,0.30116762976962297
RC,400,44,3,0.29229088819277993
RC,400,44,4,0.2911864846422643
RC,400,44,5,0.32527806289157973
RC,400,45,1,0.3411665103441698
RC,400,45,2,0.3089628710395574
RC,400,45,3,0.29442785830865503
RC,400,45,4,0.30577885957228473
RC,400,45,5,0.3250488664485547
RC,400,46,1,0.336543494527509
RC,400,46,2,0.32632146088167363
RC,400,46,3,0.3710205569610874
RC,400,46,4,0.3347363288153499
RC,400,46,5,0.3236554691323231
RC,1000,42,1,0.20287577239595833
RC,1000,42,2,0.19467090210350235
RC,1000,42,3,0.19451513647639404
RC,1000,42,4,0.18995696873479856
RC,1000,42,5,0.21931850910552314
RC,1000,43,1,0.21215259312620724
RC,1000,43,2,0.21551077001859165
RC,1000,43,3,0.21713010013710526
RC,1000,43,4,0.2442989423560389
RC,1000,43,5,0.22933289379925784
